name,brand,quantity,generic_name,image_url,categories,labels,allergens,nutriscore,nova_group,ecoscore,origins
Sojamehl volfett für Gebäck und als Ei-Ersatz,Spielberger Mühle,250 g,Mehl,https://images.openfoodfacts.org/images/products/402/238/125/5226/1.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:legumes-and-their-products|en:flours|en:legume-flours|en:soybean-flours,en:organic|en:biodynamic-agriculture|en:demeter,,a,,,
Bio Dinkel Apfel Keks,Mamia,125 gr,,https://images.openfoodfacts.org/images/products/406/145/819/2651/5.400.jpg,en:snacks|en:sweet-snacks|en:biscuits-and-cakes|en:pastries,en:organic|en:eu-organic|de:eg-öko-verordnung|en:no-added-sugar,,d,3,,EU/Nicht EU
Knusper Müsli Honey nuts,REWE,500 g,Müsli,https://images.openfoodfacts.org/images/products/438/886/045/7421/2.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:breakfasts|en:cereals-and-potatoes|en:cereals-and-their-products|en:breakfast-cereals|en:mueslis,en:fsc,en:gluten|en:nuts,d,4,c,
Bärlauch Bio-Frischcreme,Green Heart,150 g,Aufstrich,https://images.openfoodfacts.org/images/products/901/149/784/1442/6.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:spreads|en:plant-based-spreads,en:organic|en:vegetarian|en:eu-organic|en:vegan|en:at-bio-301|en:no-soy,en:nuts,d,4,,
Deftiger Jack,Sanchon,135 g,Aufstrich,https://images.openfoodfacts.org/images/products/16859999/1.400.jpg,en:spreads,en:no-gluten|en:organic|en:vegetarian|en:eu-organic|en:vegan|de:eg-öko-verordnung,en:mustard,d,4,,
Salmiakko,Sweet land,230g,,https://images.openfoodfacts.org/images/products/406/145/804/1386/1.400.jpg,en:snacks|en:sweet-snacks|en:confectioneries|en:candies|en:liquorice-candies,,,e,4,c,
Basilikum & ruccola pesto,Deluxe,190g,Soße,,en:condiments|en:sauces|en:pestos|en:green-pestos,en:no-gluten,en:celery|en:eggs|en:fish|en:milk|en:mustard|en:nuts|en:peanuts|en:nuts,d,3,d,
Dinkel cracker natur,dm,100 g,,https://images.openfoodfacts.org/images/products/405/817/258/7320/3.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:snacks|en:cereals-and-potatoes|en:salty-snacks|en:seeds|en:appetizers|en:biscuits-and-crackers|en:cereals-and-their-products|en:meals|en:cereal-grains|en:crackers-appetizers|en:wheats|en:spelts,en:organic|en:vegetarian|en:eu-organic|en:vegan|de:eg-öko-verordnung|en:ch-bio-006|en:european-vegetarian-union|en:european-vegetarian-union-vegan,en:gluten,c,3,,
Winter Suppe,Maggi,1pcs,Suppe,https://images.openfoodfacts.org/images/products/761/303/947/1463/3.400.jpg,en:dried-products|en:meals|en:dried-products-to-be-rehydrated|en:soups|en:dried-meals|en:dehydrated-soups,en:green-dot|en:nutriscore|en:nutriscore-grade-b|de:mit-natürlichen-zutaten,en:celery|en:gluten,,4,,
Tomaten Kinder Tomatensauce,PPURA,340g,Tomatensoße,,en:condiments|en:sauces|en:tomato-sauces|de:bio-tomatensauce,en:organic|en:vegetarian|en:carbon-compensated-product|en:eu-organic|en:vegan|de:eg-öko-verordnung|en:co2e-neutral|en:no-added-sugar,,a,3,,sv:italien
Mandelfrischcreme Natur,Licorne,150 g,Aufstrich,https://images.openfoodfacts.org/images/products/426/055/601/0205/1.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:spreads|en:plant-based-spreads|en:salted-spreads|en:cheese-spreads-substitutes,en:organic|en:vegetarian|en:eu-organic|en:vegan|en:de-oko-006|en:european-vegetarian-union|en:european-vegetarian-union-vegan,en:nuts,d,4,a,
H-Schmand 24 % Fett,Gutes Land,200g,Sahne,https://images.openfoodfacts.org/images/products/431/626/859/8507/1.400.jpg,en:dairies|en:fermented-foods|en:fermented-milk-products|en:creams|en:fermented-creams|en:sour-creams,,,d,,b,
Anelli siciliani Nudeln,Alberto Poiatti,1000g,Nudeln,,en:plant-based-foods-and-beverages|en:plant-based-foods|en:cereals-and-potatoes|en:cereals-and-their-products|en:pastas|en:cereal-pastas|en:dry-pastas|en:durum-wheat-pasta|it:anelli,,en:gluten,a,1,,Italy
Das Landknäcke Dinkel,Burger,250g,Brot,https://images.openfoodfacts.org/images/products/401/297/001/1173/6.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:cereals-and-potatoes|en:breads|en:crispbreads,,en:gluten,d,3,,
