# Categories from openfoodfacts-products.jsonl
# Total products: 373,676
# Products with categories: 161,016
# Unique categories: 17,072
#
# Format: count | category
#============================================================

   148 | en:sunflower-seeds
   148 | en:stuffed-wafers
   148 | en:bacon
   147 | en:durum-wheat-semolinas
   147 | en:legume-based-drinks
   146 | en:canned-sardines
   146 | en:energy-bars
   146 | en:tunas-in-oil
   146 | en:food-decorations
   146 | en:pre-baked-breads
   146 | en:soy-based-drinks
   146 | en:salads-with-fish
   145 | en:meat-based-pasta-sauces
   145 | en:mashed-potatoes
   145 | en:sparkling-wines
   144 | en:green-beans
   144 | en:lagers
   143 | en:dehydrated-sauces
   143 | en:fermentierte-lebensmittel
   142 | en:cucumbers
   141 | en:canned-sweet-corn
   141 | en:pork-meals
   141 | en:spatzle
   141 | en:canned-peas-and-carrots
   140 | en:flower-honeys
   139 | en:apricot-jams
   139 | en:dry-durum-wheat-pasta
   139 | en:groats
   138 | en:sugar-substitutes
   138 | en:peeled-tomatoes
   138 | en:yogurt-drinks
   138 | en:plant-based-ice-creams
   137 | en:curry-sauces
   137 | en:aliments-d-origine-vegetale
   137 | en:black-olives
   137 | en:fermentierte-milch
   136 | en:salted-nuts
   136 | en:wheats
   136 | en:prepared-meat-cuts-substitutes
   134 | en:raisins
   134 | en:vitamins
   134 | en:corn-flakes
   134 | en:black-teas
   134 | en:cooked-poultries
   134 | en:pork-salami
   134 | en:tuna-salads
   134 | en:bavarian-beers
   133 | en:mackerels
   133 | en:beer-based-alcoholic-beverages
   132 | en:dry-biscuits
   132 | en:stollen
   132 | en:bread-coverings
   132 | de:fleischerzeugnisse
   132 | en:vegetarian-sauces
   131 | en:imbiss
   131 | en:vegetarian-balls
   130 | en:shelled-almonds
   130 | en:evaporated-milks
   130 | en:penne-rigate
   130 | en:herring-fillets
   130 | en:frozen-berries
   130 | en:gemusebasierte-lebensmittel
   129 | en:nut-based-drinks
   129 | en:bolognese-sauces
   128 | en:christmas-sweets
   128 | en:fresh-tomatoes
   127 | en:red-cabbage
   127 | en:quinoa
   127 | en:grapes
   126 | en:durum-wheat-spaghetti
   126 | en:easter-eggs
   126 | en:mortadella
   126 | en:sushi-and-maki
   125 | en:cooked-chicken-breast-slices
   125 | en:mildly-carbonated-natural-mineral-water
   125 | en:shandy
   124 | en:buttermilks
   124 | en:tuna-fillets
   123 | en:instant-noodle-soups
   122 | en:kefir
   122 | en:mountain-products
   121 | en:nut-bars
   121 | en:microwave-meals
   121 | en:chocolates-with-almonds
   121 | en:plain-yogurts
   121 | en:sushis
   121 | en:vegan-vegetable-spreads
   120 | af:fusilli
   119 | en:almond-based-drinks
   119 | en:asparagus
   119 | de:nürnberger-lebkuchen
   119 | en:creamy-puddings
   118 | en:italian-meat-products
   118 | fr:tissue-paper-and-tissue-products
   117 | en:beef-dishes
   116 | en:puffed-grains
   116 | en:smoked-cured-hams
   116 | en:ground-dried-aromatic-plants
   116 | en:wheat-flour-t405
   116 | en:sardines-in-oil
   115 | en:puffed-cereals
   115 | en:protein-shakes
   114 | en:maple-syrups
   114 | en:gins
   114 | en:canned-mushrooms
   114 | en:hamburger-buns
   114 | en:sprinkles
   114 | en:ice-cream-cones
   114 | de:fruchtaufstrich
   113 | de:gefrorene-fertiggerichte
   113 | en:almond-butters
   112 | en:pollocks
   112 | en:mountain-cheeses
   111 | en:rums
   111 | en:crepes-and-galettes
   111 | en:filled-chocolate-eggs
   111 | en:garlic
   111 | en:sorbets
   111 | en:cucurbitacea-seeds
   110 | en:pumpkin-seeds
   110 | en:pasteurised-milks
   110 | en:baby-milks
   109 | en:mandarins
   109 | en:apricots
   109 | en:rices-for-risotto
   109 | en:mixed-fruit-jams
   109 | en:susse-brotaufstriche
   109 | en:chili-con-carne
   109 | en:getreideprodukte
   108 | en:wheat-groats
   107 | en:non-carbonated-natural-mineral-waters
   107 | en:black-peppers
   107 | en:mackerel-fillets
   106 | en:croissants
   106 | en:grilling-cheeses
   106 | en:bulgur
   105 | en:pizza-dough
   105 | en:common-wheat-flours
   104 | en:cane-sugar
   104 | en:ales
   104 | en:sea-salts
   104 | en:cherries
   104 | en:pasta-salads
   103 | en:wines-from-france
   103 | en:pie-dough
   103 | en:prepared-pork-meats
   102 | en:peaches
   102 | en:sesame
   102 | en:broccoli
   102 | en:leaf-salads
   102 | en:spelts
   102 | en:orange-soft-drinks
   101 | en:salty-snacks-made-from-potato
   101 | en:paprika
   101 | en:brioches
   101 | en:breaded-cheeses
   101 | en:german-cheeses
   100 | en:canned-meats
   100 | en:breadsticks
   100 | en:vanilla-ice-cream-tubs
   100 | en:flavors
   100 | en:milk-chocolates-with-hazelnuts
    99 | en:walnut-kernels
    99 | en:latte-macchiato
    99 | en:chocolate-cereal-bars
    98 | en:roasted-pistachios
    98 | en:cooked-chicken
    98 | en:raspberry-jams
    98 | en:sweet-mousses
    97 | en:nougats
    97 | en:artichokes
    97 | en:blue-veined-cheeses
    97 | en:chocolate-milks
    97 | en:filled-dark-chocolates
    97 | en:kohlensaurehaltige-getranke
    96 | en:frozen-spinachs
    96 | en:cheeses-from-switzerland
    96 | de:streichfette
    95 | fr:allumettes-de-porc
    95 | en:pollock-fillets
    95 | en:prepared-spinachs
    95 | en:spinach-with-cream-sauce
    95 | en:fruit-jellies
    94 | en:chia
    94 | en:hamburgers
    94 | en:stuffed-olives
    94 | en:dried-hams
    94 | en:fish-fingers
    94 | en:cider-vinegars
    94 | en:crunchy-mueslis
    93 | en:canned-peas
    93 | en:orange-juices-from-concentrate
    93 | en:breaded-meat-cutlets
    93 | en:arrabbiata-sauces
    92 | en:lardons
    92 | en:cinnamon
    92 | en:soy-beans
    91 | en:gluten-free-pasta
    91 | en:liquorice-candies
    91 | de:maultaschen
    91 | en:maasdam
    91 | en:white-rices
    91 | en:muffins
    91 | en:fruhstuckscerealien
    90 | en:shortbread-cookies
    90 | en:bouillon-cubes
    90 | en:whisky
    90 | en:margherita-pizza
    89 | en:vodka
    89 | en:rusks
    89 | en:herbal-teas-in-tea-bags
    89 | en:lettuces
    89 | en:grape-juices
    89 | en:fresh-meats
    89 | en:sultana-raisins
    88 | en:sesame-oils
    88 | en:fruchte
    88 | en:jasmine-rice
    88 | en:pork-preparations
    88 | en:canned-chickpeas
    88 | en:vegetarian-nuggets
    88 | en:glazes-with-vinegar
    87 | en:steaks
    87 | en:low-fat-yogurts
    87 | en:fish-and-meat-and-eggs
    87 | de:vegan
    87 | en:wheat-beers
    86 | en:plums
    86 | en:beetroot-pickled
    85 | en:heissgetranke
    85 | en:strawberry-yogurts
    85 | en:pickled-capers
    85 | en:trouts
    85 | en:red-lentils
    85 | en:pound-cake
    85 | en:vegan-sauces
    84 | en:baked-beans-in-tomato-sauce
    84 | en:dehydrated-beverages
    84 | en:durum-wheat-semolinas-for-couscous
    84 | en:baker-s-yeast
    84 | en:meat-lasagnas
    84 | en:canned-red-kidney-beans
    84 | en:agave-syrups
    84 | en:vegetables-prepared-processed-shelf-stable
    84 | en:snacks-and-desserts-for-babies
    84 | en:nahrungserganzungsmittel
    83 | en:ajvar
    83 | en:bolognese-lasagne
    83 | en:lemon-juice
    83 | en:bread-crumbs
    83 | en:evaporated-milks-without-sugar
    83 | en:advent-calendars
    83 | en:pitted-olives
    83 | en:gratins
    83 | en:paprika-crisps
    83 | en:iced-coffees
    83 | en:falafels
    83 | en:beetroot
    83 | en:semolina-puddings
    83 | en:cereal-butters
    83 | en:tahini
    83 | en:risottos
    82 | en:tomato-juices
    82 | en:snacks-sucres
    82 | en:seedless-grapes
    82 | en:sweet-pies
    82 | de:wurstaufschnitt
    82 | en:petits-suisses
    82 | en:hollandaise-sauce
    82 | en:ground-coffees
    81 | en:puffed-salty-snacks
    81 | en:chili-peppers
    81 | en:ciders
    81 | en:gewurze
    81 | en:grated-emmentaler
    81 | en:coleslaw
    81 | en:chinese-noodles
    81 | de:cola-mix
    80 | en:tomato-ketchup
    80 | en:tunas-in-brine
    80 | en:wraps
    80 | en:instant-pasta
    79 | en:pancakes
    79 | en:spit-cakes
    79 | en:fruit-confectioneries
    79 | en:sprouts
    79 | de:obst
    79 | en:dried-figs
    78 | en:frozen-legumes
    78 | en:dried-mixed-fruits
    78 | en:dried-apricots
    78 | en:rostis
    78 | en:chocolate-chip-cookies
    78 | en:nut-confectioneries
    78 | en:sliced-cheese-substitutes
    77 | en:canned-fruits-in-juice
    77 | en:baumkuchen
    77 | en:fruchtgetranke
    77 | en:instant-mashed-potatoes
    77 | en:spring-rolls
    77 | en:roasted-coffee-beans
    77 | en:linseed-oils
    76 | en:chorizo
    76 | en:dried-meats
    76 | en:dried-mushrooms
    76 | en:sekt
    75 | en:vegetable-sauces
    75 | en:cottage-cheeses
    75 | en:chocolate-rabbits
    75 | en:pine-nuts
    75 | en:chocolate-coated-peanuts
    75 | en:cheesecakes
    75 | en:puffed-corn-cakes
    75 | en:acid-gummy-candies
    74 | en:baking-powder-or-raising-agent
    74 | en:starches
    74 | en:canned-champignon-mushrooms
    74 | en:cereales-et-pommes-de-terre
    74 | en:dark-chocolate-biscuits
    74 | en:tagliatelle
    74 | en:filled-cereals
    74 | en:wines-from-germany
    74 | en:reheatable-soups
    74 | en:energy-drink-with-sugar
    73 | en:brussels-sprouts
    73 | en:marshmallows
    73 | en:frozen-meats
    73 | en:sprits-biscuits
    73 | en:tzatzikis
    73 | en:tomato-purees
    73 | en:brownies
    73 | en:whole-wheat-noodles
    72 | en:green-stuffed-olives
    72 | en:cherry-jams
    72 | de:dominosteine
    72 | en:smetana
    72 | en:petit-beurre
    72 | en:buckwheat
    72 | en:grated-horseradish
    72 | en:fruit-smoothies
    72 | en:pies
    72 | en:carrot-juices
    72 | en:erfrischungsgetranke
    72 | en:tonic-water
    71 | en:canned-pineapples
    71 | en:canned-peppers
    71 | de:oblaten-lebkuchen
    71 | en:chocolate-coated-fruits
    71 | en:squeezed-orange-juices
    71 | en:ice-pops
    71 | en:lemon-soft-drinks
    70 | en:tiefkuhlprodukte
    70 | en:wine-vinegars
    70 | en:fruits-cereal-bars
    70 | en:ginger
    70 | en:cheese-spreads-substitutes
    69 | en:oatmeal-biscuits
    69 | en:orange-jams
    69 | en:lactose-free-milk
    69 | en:dehydrated-vegetable-bouillons
    69 | en:dairy-mousses
    69 | en:avocados
    69 | en:fresh-meat-preparations
    69 | en:plant-milk-chocolates
    69 | en:infant-formulas
    68 | en:german-pasta
    68 | en:seaweeds-and-their-products
    68 | en:biscuit-with-a-chocolate-bar-covering
    68 | en:getreidekorner
    67 | en:pretzel
    67 | en:cow-milks
    67 | en:salted-pies
    67 | en:pate
    67 | en:vanilla
    67 | en:nespresso-compatible-coffee-capsules
    67 | en:plant-based-ice-cream-tubs
    66 | en:jaffa-cakes
    66 | en:sweet-cream-butters
    66 | en:toasted-bread-rolls
    66 | en:chicken-wings
    66 | en:sandwich-biscuits
    66 | en:nut-oils
